id;edad;vecesmora3060;vecesmora6090;vecesmoragt90;porc_revolv_util;cv
4452;46;0;0;0;0.02;N
17453;45;0;0;0;0.26;N
22418;78;0;0;0;0.04;N
28071;55;0;0;0;0.11;N
3945;61;0;0;0;0;N
7573;61;0;0;0;0;N
2612;59;0;0;0;0.11;N
31382;43;0;0;0;0.72;N
6104;75;0;0;0;0.02;N
45302;33;0;0;0;0.83;N
39131;81;0;0;0;0.01;N
44568;44;0;0;0;0.06;N
38319;52;0;0;0;0.26;N
21366;70;0;0;0;0.03;N
2445;35;0;0;0;0.06;N
15343;63;0;0;0;0.01;N
8208;50;0;0;0;0.01;N
64890;66;0;0;0;0.62;N
6576;52;0;0;0;0.14;N
61873;51;0;0;0;0;N
9071;60;0;0;0;0;N
61719;64;0;0;0;0.03;N
35334;42;0;0;0;1;N
5213;60;0;0;0;0.02;N
8480;66;0;0;0;1;N
5480;69;0;0;0;0.01;N
32914;63;0;0;0;0.03;N
23234;60;0;0;0;0;N
33120;66;0;0;0;0.03;N
16812;31;0;0;0;0.84;N
9813;52;0;0;0;0.01;N
40148;62;0;0;0;0.64;N
14393;66;0;0;0;0.03;N
8865;52;0;0;0;0;N
41481;53;0;0;0;0.77;N
45142;71;0;0;0;0.05;N
17197;38;0;0;0;0.04;N
38889;52;0;0;0;0.25;N
44496;42;0;0;0;0.37;N
24158;26;0;0;0;0.07;N
838;29;0;0;0;0;N
7260;59;0;0;0;0.21;N
22338;71;0;0;0;0;N
19328;84;0;0;0;0.05;N
20882;63;0;0;0;0;N
31326;61;0;0;0;0.13;N
61457;32;0;0;0;0;N
29997;58;0;0;0;0.01;N
21642;60;0;0;0;0;N
64570;64;0;0;0;0.6;N
16297;63;0;0;0;0.03;N
2272;54;0;0;0;0;N
62139;40;0;0;0;0;N
11617;55;0;0;0;0.01;N
20853;53;0;0;0;0;N
4364;53;0;0;0;0.09;N
34220;59;0;0;0;0.15;N
7099;67;0;0;0;0;N
19906;61;0;0;0;0.12;N
38644;86;0;0;0;0.02;N
41622;45;0;0;0;0;N
23449;25;0;0;0;0.11;N
19918;56;0;0;0;0.02;N
37412;48;0;0;0;0.1;N
61203;74;0;0;0;0;N
29652;71;0;0;0;0.08;N
25476;35;0;0;0;0.99;S
64992;23;0;0;0;1;N
22634;62;0;0;0;0.05;N
4929;68;0;0;0;0.39;N
18001;70;0;0;0;0.64;N
37519;32;0;0;0;0.88;N
16611;80;0;0;0;0.27;N
38588;67;0;0;0;0.04;N
60923;81;0;0;0;0.37;N
28371;43;0;0;0;0.51;N
32338;40;0;0;0;1;S
20996;56;0;0;0;0.29;N
19784;68;0;0;0;1;N
5254;64;0;0;0;0.16;N
17887;46;0;0;0;0.08;N
23799;56;0;0;0;0.07;N
5140;80;0;0;0;0.05;N
4902;59;0;0;0;0.11;N
31637;36;0;0;0;1;N
28641;65;0;0;0;0.02;N
16418;82;0;0;0;0.03;N
45511;45;0;0;0;0.47;N
5310;64;0;0;0;0;N
32871;45;0;0;0;0.05;N
15838;45;0;0;0;0;N
38156;73;0;0;0;0.01;N
25413;58;0;0;0;0.06;N
37080;54;0;0;0;0.19;N
16130;70;0;0;0;0.22;N
45150;48;0;0;0;0.26;N
18971;26;0;0;0;0.02;N
34198;81;0;0;0;0.01;N
30323;61;0;0;0;0.04;N
30714;48;0;0;0;0.05;N
15236;36;0;0;0;0.05;N
19775;44;0;0;0;0;N
20177;46;0;0;0;0.12;N
2720;47;0;0;0;0.29;N
38732;66;0;0;0;0.05;N
30528;49;0;0;0;0.02;N
6917;26;0;0;0;0.4;N
36095;66;0;0;0;0;N
36035;82;0;0;0;0;N
20635;49;0;0;0;0.01;N
17221;57;0;0;0;1;N
61654;53;0;0;0;0.01;N
11125;51;0;0;0;1;N
25209;42;0;0;0;0;N
44624;64;0;0;0;1;N
8796;33;0;0;0;0.57;N
8903;67;0;0;0;0;N
7392;74;0;0;0;0.03;N
16336;46;0;0;0;0.11;N
31361;44;0;0;0;0.74;N
62089;56;0;0;0;1;N
19490;65;0;0;0;0.01;N
10209;59;0;0;0;0.07;N
40374;64;0;0;0;0.06;N
2626;57;0;0;0;1;N
16961;32;0;0;0;0.67;N
19522;78;0;0;0;1;N
62164;31;0;0;0;0.9;N
19616;79;0;0;0;0.05;N
5739;79;0;0;0;0.07;N
22825;85;0;0;0;0.02;N
40378;73;0;0;0;0;N
24332;37;0;0;0;0.06;N
9041;45;0;0;0;1;S
2253;40;0;0;0;0.01;N
18760;45;0;0;0;0.53;N
45191;29;0;0;0;0.93;N
62701;70;0;0;0;0.07;N
61353;55;0;0;0;0.46;N
32467;30;0;0;0;0.73;S
19011;23;0;0;0;0;N
7678;36;0;0;0;1;N
5628;47;0;0;0;0.39;N
8675;25;0;0;0;0.17;N
32251;45;0;0;0;0.11;N
41330;51;0;0;0;0.74;N
23578;77;0;0;0;0;N
40220;69;0;0;0;0.09;N
64973;51;0;0;0;0.94;N
41532;66;0;0;0;0;N
45766;62;0;0;0;0;N
14568;45;0;0;0;0.53;N
36105;53;0;0;0;0.17;N
41084;43;0;0;0;0.04;N
38095;87;0;0;0;0.02;N
14526;63;0;0;0;0.2;N
14443;50;0;0;0;1;N
31151;64;0;0;0;0.01;N
44826;48;0;0;0;0.01;N
41451;56;0;0;0;0.04;N
18393;86;0;0;0;0.08;N
36412;75;0;0;0;0.04;N
9734;43;0;0;0;0.01;N
16666;38;0;0;0;0.09;N
14484;49;0;0;0;0.01;N
8962;65;0;0;0;0.65;N
31096;61;0;0;0;1;N
7020;50;0;0;0;0.31;N
40755;24;0;0;0;0;N
8961;73;0;0;0;0.04;N
5766;80;0;0;0;0;N
16684;88;0;0;0;0.01;N
17171;67;0;0;0;0.02;N
22916;27;0;0;0;0.28;N
10081;62;0;0;0;0.2;N
62403;57;0;0;0;0.39;N
4139;57;0;0;0;0.23;N
2333;65;0;0;0;0.09;N
20064;56;0;0;0;0.12;N
7340;67;0;0;0;0.05;N
22703;40;0;0;0;1;N
24971;58;0;0;0;0.11;N
61632;43;0;0;0;1;N
61214;75;0;0;0;0.02;N
23289;56;0;0;0;0.12;N
45846;73;0;0;0;0;N
8394;57;0;0;0;1;S
38306;45;0;0;0;0.43;N
29799;66;0;0;0;0.05;N
9771;49;0;0;0;0.51;N
28806;59;0;0;0;0;N
30893;70;0;0;0;0.05;N
35390;56;0;0;0;0.01;N
21572;82;0;0;0;0.02;N
9658;62;0;0;0;0.14;N
29832;34;0;0;0;0.37;N
5948;26;0;0;0;1;N
11407;61;0;0;0;0.35;N
29039;59;0;0;0;0;N
6494;79;0;0;0;0;N
37501;42;0;0;0;0;N
18631;77;0;0;0;1;N
31239;62;0;0;0;0;N
18601;55;0;0;0;0.01;S
45188;78;0;0;0;0.01;N
62700;75;0;0;0;0;N
11622;79;0;0;0;0.02;N
45534;102;0;0;0;0;N
2525;37;0;0;0;1;N
38018;46;0;0;0;0.33;N
28090;29;0;0;0;0;N
10379;66;0;0;0;0;N
34388;92;0;0;0;0.01;N
64599;38;0;0;0;0;N
18700;61;0;0;0;0.22;N
23740;58;0;0;0;0.04;N
20752;75;0;0;0;0.02;N
8692;62;0;0;0;0.01;N
17875;69;0;0;0;0.02;N
19282;66;0;0;0;0.05;N
30348;78;0;0;0;0.05;N
2624;74;0;0;0;0.26;N
14592;83;0;0;0;0;N
20040;67;0;0;0;0;N
32409;63;0;0;0;0.57;N
22387;27;0;0;0;1;S
36721;75;0;0;0;0.01;N
45899;62;0;0;0;0;N
19924;53;0;0;0;0.25;N
16727;22;0;0;0;1;N
8166;37;0;0;0;0.04;N
32228;23;0;0;0;0.83;N
2622;21;0;0;0;1;N
9231;57;0;0;0;0.13;N
32308;29;0;0;0;0.2;N
2481;73;0;0;0;0;N
23700;51;0;0;0;0.18;N
15239;60;0;0;0;0.83;N
20134;63;0;0;0;0.02;N
40714;39;0;0;0;0.1;N
38158;41;0;0;0;0.04;N
11490;54;0;0;0;0.11;N
32141;75;0;0;0;0.62;N
8443;77;0;0;0;0.02;N
21396;41;0;0;0;0.91;N
32872;30;0;0;0;0.15;N
62385;83;0;0;0;0;N
21136;92;0;0;0;0.04;N
31775;76;0;0;0;0.22;N
17732;68;0;0;0;0;N
7166;45;0;0;0;0.1;N
6976;26;0;0;0;0.27;N
10057;68;0;0;0;0.02;N
7105;70;0;0;0;0.02;N
40247;49;0;0;0;0.48;N
6706;50;0;0;0;0.35;N
23652;59;0;0;0;0.02;N
798;85;0;0;0;0.15;N
18086;65;0;0;0;0.08;N
5134;69;0;0;0;0.02;N
15868;87;0;0;0;0.02;N
39653;59;0;0;0;0;N
33990;60;0;0;0;0.02;N
